X,MajorityProteinIDs,ProteinNames,GeneID,Intensity.T2.1,Intensity.T2.1NK,Intensity.T2.2,Intensity.T2.2NK,Intensity.T2.3,Intensity.T2.3NK,logFC_RNFT2.CTRL,pvalue_RNFT2.CTRL,adjpval_RNFT2.CTRL
15,Q96EX2,RING finger and transmembrane domain-containing protein 2,RNFT2,27.50048069,25.24544243,27.37937705,24.33890621,27.79551411,13.79020335,6.433606617,0.110241563,0.124221471
16,Q9Y6Y8,SEC23-interacting protein,SEC23IP,27.30620476,13.79020335,27.33961421,19.08910987,27.35970398,27.86121139,7.088332777,0.113598485,0.127541982
17,Q9NP61,ADP-ribosylation factor GTPase-activating protein 3,ARFGAP3,27.52515098,13.79020335,27.46922296,23.5862616,27.12935658,13.79020335,10.31902074,0.017444419,0.023742733
18,P49327,Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,FASN,27.30598489,24.54108517,27.21695649,25.06333779,27.53260967,21.9013373,3.516596931,0.011002337,0.015241545
19,Q9NZC7,WW domain-containing oxidoreductase,WWOX,27.4972588,13.79020335,27.59404593,13.79020335,27.00367168,13.79020335,13.57478879,1.03e-08,7.85e-08
20,Q86Y07,Serine/threonine-protein kinase VRK2,VRK2,27.35395814,13.79020335,27.28380241,13.79020335,27.31283278,13.79020335,13.52666109,2.26e-10,3.08e-08
21,O15173,Membrane-associated progesterone receptor component 2,PGRMC2,27.29427038,13.79020335,27.3044198,13.79020335,27.03368254,13.79020335,13.42058755,1.06e-09,3.48e-08
22,P21333,Filamin-A,FLNA,26.90566241,13.79020335,26.87841712,13.79020335,27.54866348,13.79020335,13.32071099,2.37e-08,1.31e-07
23,P50990,T-complex protein 1 subunit theta,CCT8,26.68466238,21.13271181,26.55635351,21.09731593,26.7441244,21.43432992,5.440260879,2.14e-07,6.86e-07
24,P42166,"Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin",TMPO,26.73629555,24.5259513,26.53583571,13.79020335,26.74528191,13.79020335,9.303685057,0.034706851,0.045561071
25,Q13190,Syntaxin-5,STX5,26.58644284,13.79020335,26.45272908,13.79020335,26.95025275,13.79020335,12.8729382,6.17e-09,5.73e-08
26,Q5JTV8,Torsin-1A-interacting protein 1,TOR1AIP1,26.63053665,13.79020335,26.62910291,13.79020335,26.69514389,13.79020335,12.86139114,2.95e-10,3.08e-08
27,Q8TBA6,Golgin subfamily A member 5,GOLGA5,26.71036925,13.79020335,26.58761329,13.79020335,26.506137,13.79020335,12.81116983,6.23e-10,3.08e-08
28,O95486,Protein transport protein Sec24A,SEC24A,26.62316187,13.79020335,26.61082144,13.79020335,26.56444882,13.79020335,12.80927402,2.89e-10,3.08e-08
29,P23527,Histone H2B type 1-O,H2BC17,21.50566189,23.19112931,22.21792649,30.0873467,22.35737676,21.91776904,-3.038426637,0.24373647,0.263201535
30,Q9NXE4,Sphingomyelin phosphodiesterase 4,SMPD4,26.39245482,13.79020335,26.39972333,13.79020335,26.64104718,13.79020335,12.68753843,1.17e-09,3.57e-08
31,Q8N511,Transmembrane protein 199,TMEM199,26.60837858,13.79020335,26.31366508,13.79020335,26.30346588,13.79020335,12.61829983,1.96e-09,3.69e-08
32,Q92575,UBX domain-containing protein 4,UBXN4,26.39226605,13.79020335,26.34630587,13.79020335,26.2770114,13.79020335,12.54832442,3.97e-10,3.08e-08
33,P46108,Adapter molecule crk,CRK,26.1832682,13.79020335,26.01086279,13.79020335,26.54970914,13.79020335,12.45774336,9.24e-09,7.28e-08
34,Q86XL3,Ankyrin repeat and LEM domain-containing protein 2,ANKLE2,26.22747817,23.00448797,26.36963261,22.0432977,25.83255883,22.93831894,3.481188333,0.000131036,0.000219483
35,P51648,Fatty aldehyde dehydrogenase,ALDH3A2,26.31063132,13.79020335,25.90259155,13.79020335,26.09114021,13.79020335,12.31125101,3.55e-09,4.81e-08
36,Q71DI3;P68431;Q16695;Q5TEC6,Histone H3.2;Histone H3.1;Histone H3.1t;Histone H3,HIST2H3A;HIST1H3A;HIST3H3;HIST2H3PS2,23.25024666,27.16950419,22.85457003,31.45153191,22.79896719,25.45551981,-5.057590682,0.026097553,0.034834073
37,Q8N6H7,ADP-ribosylation factor GTPase-activating protein 2,ARFGAP2,26.14956836,13.79020335,26.10631828,13.79020335,25.55623973,13.79020335,12.14717211,2.13e-08,1.21e-07
38,Q9Y2U8,Inner nuclear membrane protein Man1,LEMD3,25.7515864,13.79020335,25.94653617,13.79020335,26.14933237,13.79020335,12.1589483,3.49e-09,4.81e-08
39,O14654,Insulin receptor substrate 4,IRS4,25.63412407,21.44605134,25.59369857,22.14406557,26.12654832,20.62265739,4.38053222,0.000171561,0.000285323
40,O00763,Acetyl-CoA carboxylase 2;Biotin carboxylase,ACACB,23.65142508,29.62208915,24.30628661,29.98116956,23.9329166,28.52231418,-5.411648199,6.63e-05,0.000115885
41,Q5VV42,Threonylcarbamoyladenosine tRNA methylthiotransferase,CDKAL1,25.70752327,13.79020335,25.69763983,13.79020335,25.42474333,13.79020335,11.81976546,2.22e-09,3.84e-08
42,O75694,Nuclear pore complex protein Nup155,NUP155,25.5733844,13.79020335,25.60269435,13.79020335,25.44771873,13.79020335,11.75106247,7.25e-10,3.22e-08
43,Q9ULH7,MKL/myocardin-like protein 2,MRTFB,25.49454449,13.79020335,25.46684043,13.79020335,25.71112261,13.79020335,11.76729916,1.5e-09,3.57e-08
44,Q9BTX1,Nucleoporin NDC1,NDC1,25.54036964,13.79020335,25.5142484,13.79020335,25.43461059,13.79020335,11.70620619,5.44e-10,3.08e-08
45,Q13370,"cGMP-inhibited 3,5-cyclic phosphodiesterase B",PDE3B,25.41502908,13.79020335,25.5980799,13.79020335,25.32908341,13.79020335,11.65719411,1.66e-09,3.6e-08
46,P55036,26S proteasome non-ATPase regulatory subunit 4,PSMD4,25.12629121,13.79020335,24.95531655,13.79020335,25.83130414,13.79020335,11.51410062,1.16e-07,4.42e-07
47,Q5HYI8,Rab-like protein 3,RABL3,25.39192277,13.79020335,25.39522515,13.79020335,24.87520393,13.79020335,11.4305806,1.94e-08,1.13e-07
48,P46109,Crk-like protein,CRKL,25.20949073,13.79020335,25.22732656,13.79020335,25.31161651,13.79020335,11.45927458,6.01e-10,3.08e-08
49,Q14318,Peptidyl-prolyl cis-trans isomerase FKBP8,FKBP8,25.4089602,17.30472572,25.22503727,13.79020335,24.75101698,16.49841635,9.263889676,0.000233227,0.000381756
50,O75396,Vesicle-trafficking protein SEC22b,SEC22B,25.24651228,13.79020335,25.05536243,13.79020335,25.25487684,13.79020335,11.3953805,1.29e-09,3.57e-08
51,Q5JRA6,Melanoma inhibitory activity protein 3,MIA3,25.13933027,13.79020335,25.3440617,13.79020335,24.88699,13.79020335,11.33325731,7.72e-09,6.57e-08
52,O75410,Transforming acidic coiled-coil-containing protein 1,TACC1,25.14647318,13.79020335,25.21365598,13.79020335,25.04834988,13.79020335,11.34595633,8.71e-10,3.35e-08
53,P08670,Vimentin,VIM,24.40436248,21.63616117,24.44975761,27.02480616,24.96479312,18.16467557,2.331090103,0.362723685,0.385007051
54,O00264,Membrane-associated progesterone receptor component 1,PGRMC1,25.13112425,13.79020335,25.03202054,13.79020335,25.27801596,13.79020335,11.35685023,1.54e-09,3.57e-08
55,P63261,"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",ACTG1,21.95463728,26.10739397,23.28525311,29.46294083,22.67089658,25.16693457,-4.275494136,0.017830094,0.024214669
56,Q9BTM1;Q16777;Q6FI13;Q99878;Q96KK5;P0C0S8;Q8IUE6;Q96QV6,Histone H2A.J;Histone H2A type 2-C;Histone H2A type 2-A;Histone H2A type 1-J;Histone H2A type 1-H;Histone H2A type 1;Histone H2A type 2-B;Histone H2A type 1-A,H2AFJ;HIST2H2AC;HIST2H2AA3;HIST1H2AJ;HIST1H2AH;HIST1H2AG;HIST2H2AB;HIST1H2AA,19.52234937,21.39799152,20.72372509,26.88000851,20.35554002,20.78260587,-2.819663807,0.173583484,0.190421388
57,O95721,Synaptosomal-associated protein 29,SNAP29,25.008657,13.79020335,25.02452993,23.16672228,24.57892028,13.79020335,7.954992744,0.037368849,0.04862641
58,Q9BR76,Coronin-1B,CORO1B,24.91997392,13.79020335,24.84663526,13.79020335,24.98041388,13.79020335,11.125471,7.91e-10,3.28e-08
59,P62805,Histone H4,H4C1,13.79020335,13.79020335,18.89464673,26.69325586,18.15073269,19.45118924,-3.033021893,0.444568163,0.465524238
60,Q96JH7,Deubiquitinating protein VCIP135,VCPIP1,24.65283797,13.79020335,24.73179472,13.79020335,25.23307468,13.79020335,11.08236577,2.75e-08,1.45e-07
61,Q7Z494,Nephrocystin-3,NPHP3,24.76003048,22.42903971,24.87052372,21.78153162,24.78697873,22.48426804,2.57423119,8.84e-05,0.000151852
62,Q9BRK4,Leucine zipper putative tumor suppressor 2,LZTS2,24.82812341,13.79020335,24.69522963,18.81975782,24.99098684,13.79020335,9.371391785,0.001664451,0.00251895
63,Q96A65,Exocyst complex component 4,EXOC4,24.84390716,13.79020335,24.78945111,13.79020335,24.77715929,13.79020335,11.0133025,6.26e-10,3.08e-08
64,P49069,Calcium signal-modulating cyclophilin ligand,CAMLG,24.77767166,13.79020335,24.81250944,13.79020335,24.74079684,13.79020335,10.9867893,6.35e-10,3.08e-08
65,O95210,Starch-binding domain-containing protein 1,STBD1,24.83451593,13.79020335,24.8653493,13.79020335,24.47863867,13.79020335,10.93596462,7.49e-09,6.47e-08
66,P68363;Q71U36;P0DPH8;P0DPH7;P68366;Q9BQE3,Tubulin alpha-1B chain;Tubulin alpha-1A chain;Tubulin alpha-4A chain;Tubulin alpha-1C chain,TUBA1B;TUBA1A;TUBA4A;TUBA1C,24.32259966,26.52002746,24.38014421,26.69414048,24.46871862,25.6720915,-1.904932319,0.001452938,0.002210581
67,Q14247,Src substrate cortactin,CTTN,24.5289757,16.81180758,24.61593417,15.93495828,24.76345138,21.17105909,6.6635121,0.00620945,0.008885229
68,P48444,Coatomer subunit delta,ARCN1,24.78269535,13.79020335,24.82955917,13.79020335,24.48656092,13.79020335,10.90940179,4.89e-09,4.98e-08
69,Q96SK2,Transmembrane protein 209,TMEM209,24.71075945,20.55393179,24.67246561,13.79020335,24.65341534,13.79020335,8.634100636,0.008272694,0.011694581
70,O94979,Protein transport protein Sec31A,SEC31A,24.61744487,13.79020335,24.6622819,13.79020335,24.61397842,13.79020335,10.84103171,6.44e-10,3.08e-08
71,Q6Y7W6,PERQ amino acid-rich with GYF domain-containing protein 2,GIGYF2,24.51364825,13.79020335,24.37343718,13.79020335,24.95718011,13.79020335,10.82455183,2.72e-08,1.45e-07
72,Q09666,Neuroblast differentiation-associated protein AHNAK,AHNAK,24.22753408,19.32215934,24.65020275,17.14289942,24.7555769,13.79020335,7.792683877,0.003175016,0.004657688
73,Q8WVM8,Sec1 family domain-containing protein 1,SCFD1,24.39755122,13.79020335,24.20962509,13.79020335,25.05420318,13.79020335,10.76358981,1.33e-07,4.8e-07
74,P37802,Transgelin-2,TAGLN2,24.23434834,13.79020335,24.3810032,13.79020335,24.59511894,13.79020335,10.61328681,5.23e-09,5.05e-08
75,Q6ZNB6,NF-X1-type zinc finger protein NFXL1,NFXL1,24.27123235,13.79020335,24.47096073,13.79020335,24.39058987,13.79020335,10.58739097,1.55e-09,3.57e-08
76,Q8N4V1,Membrane magnesium transporter 1,MMGT1,24.46172114,13.79020335,24.36557299,13.79020335,24.13142884,13.79020335,10.52937097,4.55e-09,4.98e-08
77,Q8TF72,Protein Shroom3,SHROOM3,23.25444616,27.85335737,23.07054359,27.39687885,23.44371991,25.87444669,-3.785324414,0.001063817,0.001637857
78,Q13432,Protein unc-119 homolog A,UNC119,24.10043844,13.79020335,24.43928903,13.79020335,24.34802143,13.79020335,10.50571295,5e-09,4.98e-08
79,Q9NPA0,ER membrane protein complex subunit 7,EMC7,24.43264893,13.79020335,24.27786892,13.79020335,24.10135533,13.79020335,10.48042104,4.37e-09,4.94e-08
80,Q5VTE0;P68104;Q05639,Putative elongation factor 1-alpha-like 3;Elongation factor 1-alpha 1;Elongation factor 1-alpha 2,EEF1A1P5;EEF1A1;EEF1A2,23.92127314,25.02186858,23.96320887,24.71337688,24.20266182,22.99288094,-0.21366086,0.727484053,0.740581148
81,Q15042,Rab3 GTPase-activating protein catalytic subunit,RAB3GAP1,24.32576981,13.79020335,24.24526274,13.79020335,24.01790274,13.79020335,10.40610841,4.11e-09,4.94e-08
82,Q15643,Thyroid receptor-interacting protein 11,TRIP11,23.93093818,13.79020335,24.07406271,13.79020335,24.38645509,13.79020335,10.34028198,1.29e-08,8.75e-08
83,P13639,Elongation factor 2,EEF2,23.64284183,25.10121664,23.68325644,24.79397414,23.87942138,24.38666126,-1.02544413,0.005070008,0.007299873
84,O60645,Exocyst complex component 3,EXOC3,23.77547853,13.79020335,23.84328179,13.79020335,24.52782477,13.79020335,10.25865835,1.28e-07,4.69e-07
85,A8MXV4,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial",NUDT19,23.86988991,13.79020335,24.08995019,13.79020335,24.14427294,13.79020335,10.244501,3.56e-09,4.81e-08
86,Q96KC8,DnaJ homolog subfamily C member 1,DNAJC1,24.17748442,13.79020335,24.19559662,13.79020335,23.52181207,13.79020335,10.17476102,9.43e-08,3.74e-07
87,P53621,Coatomer subunit alpha;Xenin;Proxenin,COPA,24.14197953,13.79020335,24.05282089,13.79020335,23.77631709,13.79020335,10.20016916,7.33e-09,6.47e-08
88,Q15738,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",NSDHL,23.91250823,13.79020335,24.15602537,13.79020335,23.87839582,13.79020335,10.19210645,4.01e-09,4.94e-08
89,Q15365,Poly(rC)-binding protein 1,PCBP1,23.60418762,17.60049637,23.80443155,21.05159556,24.14437364,22.09129271,3.603202725,0.03328334,0.044047314
90,O00151,PDZ and LIM domain protein 1,PDLIM1,23.95260257,13.79020335,24.01530573,13.79020335,23.91242482,13.79020335,10.16990769,1.06e-09,3.48e-08
91,Q96AG4,Leucine-rich repeat-containing protein 59,LRRC59,24.0151137,13.79020335,24.04117382,13.79020335,23.77191257,13.79020335,10.15253001,3.91e-09,4.94e-08
92,O60503,Adenylate cyclase type 9,ADCY9,24.05236036,22.79565805,24.07608482,13.79020335,23.5158018,13.79020335,7.089394078,0.047668799,0.061642397
93,O14641,Segment polarity protein dishevelled homolog DVL-2,DVL2,24.07802125,13.79020335,23.95897645,13.79020335,23.56134109,13.79020335,10.07590958,2.48e-08,1.34e-07
94,Q5T5Y3,Calmodulin-regulated spectrin-associated protein 1,CAMSAP1,23.90871574,13.79020335,23.89120314,13.79020335,23.62207964,13.79020335,10.01712949,5.04e-09,4.98e-08
95,Q9HDC5,Junctophilin-1,JPH1,23.67954395,13.79020335,23.81946775,13.79020335,23.93931822,13.79020335,10.02257329,3.13e-09,4.81e-08
96,Q14739,Lamin-B receptor,LBR,23.86740269,13.79020335,23.79093261,13.79020335,23.71313966,13.79020335,10.0002883,1.51e-09,3.57e-08
97,Q9Y5K6,CD2-associated protein,CD2AP,23.75588946,13.79020335,23.65239193,13.79020335,23.92132807,13.79020335,9.986333138,3.48e-09,4.81e-08
98,O60858,E3 ubiquitin-protein ligase TRIM13,TRIM13,23.85378911,13.79020335,23.92662999,13.79020335,23.40733068,13.79020335,9.939046577,3.05e-08,1.58e-07
99,Q16778,Histone H2B type 2-E,H2BC21,18.94809445,19.50517504,18.61038604,25.56706853,19.21629793,13.79020335,-0.695889502,0.829419626,0.838626384
100,P98170,E3 ubiquitin-protein ligase XIAP,XIAP,23.61581688,21.17025673,23.42195075,13.79020335,23.80917583,21.38781773,4.832888552,0.085103911,0.09839151
101,Q6UXQ4,Uncharacterized protein C2orf66,C2orf66,22.73251286,26.01916569,22.49605384,25.43238358,22.84167147,25.2132681,-2.864859732,9.37e-05,0.000160614
102,Q9H8Y8,Golgi reassembly-stacking protein 2,GORASP2,23.78054577,13.79020335,23.72831432,13.79020335,23.39338724,13.79020335,9.843879091,1.17e-08,8.54e-08
103,Q9HC62,Sentrin-specific protease 2,SENP2,23.59410955,13.79020335,23.79947899,13.79020335,23.49784525,13.79020335,9.840274579,4.97e-09,4.98e-08
104,O00571,ATP-dependent RNA helicase DDX3X,DDX3X,22.84477382,18.98308627,23.75906537,19.59536876,23.65158955,18.9613111,4.2385542,5.54e-05,9.81e-05
105,P68371;P04350,Tubulin beta-4B chain;Tubulin beta-4A chain,TUBB4B;TUBB4A,22.73067984,23.71009154,22.97616083,25.34206714,22.73559982,24.55681179,-1.72217666,0.011299772,0.015584165
106,P53618,Coatomer subunit beta,COPB1,23.51146455,13.79020335,23.54065351,13.79020335,23.62437523,13.79020335,9.768627747,1.38e-09,3.57e-08
107,Q86UE4,Protein LYRIC,MTDH,23.37995775,13.79020335,23.5073388,13.79020335,23.70642413,13.79020335,9.741036878,6.15e-09,5.73e-08
108,P14618,Pyruvate kinase PKM,PKM,23.36641997,13.79020335,23.24540386,22.59336916,23.53111953,20.95392383,4.268482334,0.14053149,0.154983309
109,Q04637,Eukaryotic translation initiation factor 4 gamma 1,EIF4G1,23.52968853,13.79020335,23.18918325,19.73769087,23.68650874,13.79020335,7.695760983,0.007925876,0.011229829
110,Q92545,Transmembrane protein 131,TMEM131,23.23899523,13.79020335,23.474592,13.79020335,23.7100369,13.79020335,9.684338026,1.84e-08,1.09e-07
111,P06899,Histone H2B type 1-J,H2BC11,13.79020335,16.87906588,18.58866855,25.38871416,13.79020335,13.79020335,-3.296302714,0.381988852,0.402706891
112,Q9UBC2,Epidermal growth factor receptor substrate 15-like 1,EPS15L1,23.27331519,13.79020335,23.32112589,13.79020335,23.64246614,13.79020335,9.622099055,1.14e-08,8.44e-08
113,Q86TX2;P49753,"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial",ACOT1;ACOT2,22.47481107,13.79020335,23.39721378,13.79020335,24.04886311,13.79020335,9.516759306,3.43e-06,7.39e-06
114,P08238,Heat shock protein HSP 90-beta,HSP90AB1,23.44638352,19.29367655,23.2152538,20.12768408,23.22550309,13.79020335,5.558525478,0.027191492,0.036216506
115,O43402,ER membrane protein complex subunit 8,EMC8,23.90959532,13.79020335,22.71692902,13.79020335,23.3391255,13.79020335,9.531679927,9.15e-07,2.36e-06
116,Q96A49,Synapse-associated protein 1,SYAP1,23.50260961,13.79020335,23.2107822,13.79020335,23.41361429,13.79020335,9.58546535,5.28e-09,5.05e-08
117,O60658,"High affinity cAMP-specific and IBMX-insensitive 3,5-cyclic phosphodiesterase 8A",PDE8A,23.41155167,13.79020335,23.17046132,13.79020335,23.56055909,13.79020335,9.590654009,1.09e-08,8.18e-08
118,O15504,Nucleoporin-like protein 2,NUP42,23.48008217,13.79020335,23.46694122,13.79020335,23.07079142,13.79020335,9.549068253,1.9e-08,1.11e-07
119,P14174,Macrophage migration inhibitory factor,MIF,22.42657488,25.213011,22.02115325,25.06393807,22.45648791,24.32538144,-2.566038156,0.000321379,0.000517869
120,P49792,E3 SUMO-protein ligase RanBP2,RANBP2,23.22750458,13.79020335,23.56321081,13.79020335,22.93320289,18.35019035,7.931107076,0.002319294,0.00345429
121,Q96CP6,GRAM domain-containing protein 1A,GRAMD1A,23.4672967,13.79020335,23.56849142,13.79020335,22.43291098,21.53677211,6.7838401,0.034639875,0.045561071
122,Q13263,Transcription intermediary factor 1-beta,TRIM28,22.64799465,23.91468912,22.406408,24.16517655,22.79726659,24.57874756,-1.602314666,0.000773378,0.001202603
123,Q9NZJ5,Eukaryotic translation initiation factor 2-alpha kinase 3,EIF2AK3,23.37632301,13.79020335,23.43816,13.79020335,22.94689334,13.79020335,9.463588765,3.24e-08,1.64e-07
124,Q96C19,EF-hand domain-containing protein D2,EFHD2,23.30625293,13.79020335,23.25952406,13.79020335,23.29346224,13.79020335,9.496209728,1.22e-09,3.57e-08
125,Q8NC51,Plasminogen activator inhibitor 1 RNA-binding protein,SERBP1,22.91541906,19.60943986,23.12024407,18.51997242,23.03481692,21.11172437,3.2764478,0.005045371,0.007281255
126,Q9Y679,Ancient ubiquitous protein 1,AUP1,23.24830735,13.79020335,23.18806847,13.79020335,23.03523494,13.79020335,9.367000237,3.24e-09,4.81e-08
127,Q9HBM0,Vezatin,VEZT,23.30413674,13.79020335,23.41032517,13.79020335,22.38653008,13.79020335,9.243460646,8.16e-07,2.17e-06
128,O95292,Vesicle-associated membrane protein-associated protein B/C,VAPB,23.27408535,13.79020335,23.31076923,13.79020335,22.5912054,13.79020335,9.268483314,1.88e-07,6.16e-07
129,Q16527,Cysteine and glycine-rich protein 2,CSRP2,21.00304443,24.8386048,22.14376788,24.09908873,21.0299072,24.78035972,-3.180444577,0.000588496,0.000929047
130,Q16850,Lanosterol 14-alpha demethylase,CYP51A1,23.44930292,13.79020335,23.36340804,13.79020335,21.63363206,13.79020335,9.025244322,1.51e-05,2.87e-05
131,Q8WXH0,Nesprin-2,SYNE2,23.31372767,13.79020335,23.26726685,13.79020335,22.2587402,13.79020335,9.156374893,1.11e-06,2.78e-06
132,P51617,Interleukin-1 receptor-associated kinase 1,IRAK1,23.19055177,13.79020335,22.87142035,13.79020335,23.03863249,13.79020335,9.243331521,7.38e-09,6.47e-08
133,Q8IZP0,Abl interactor 1,ABI1,21.24392703,23.79310195,22.1607217,23.49146524,22.66564939,24.26720285,-1.827157305,0.008606333,0.012111175
134,P49773,Histidine triad nucleotide-binding protein 1,HINT1,22.91886784,13.79020335,22.53656681,13.79020335,23.25513592,19.31465657,7.271835763,0.007507419,0.010661221
135,Q8TCJ2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,STT3B,22.41135977,13.79020335,23.1458846,13.79020335,23.22089768,13.79020335,9.135844001,3.09e-07,9.08e-07
136,Q99460,26S proteasome non-ATPase regulatory subunit 1,PSMD1,22.6830327,13.79020335,22.60583084,13.79020335,23.52281118,13.79020335,9.147021557,5.43e-07,1.49e-06
137,Q9UK76,"Hematological and neurological expressed 1 protein;Hematological and neurological expressed 1 protein, N-terminally processed",JPT1,23.00292945,13.79020335,22.89513681,13.79020335,22.98185594,13.79020335,9.169770718,1.85e-09,3.6e-08
138,P25685,DnaJ homolog subfamily B member 1,DNAJB1,22.71717186,13.79020335,22.84358706,13.79020335,23.24964158,13.79020335,9.146596813,4.43e-08,2.05e-07
139,O94855,Protein transport protein Sec24D,SEC24D,22.8927269,13.79020335,22.71395129,13.79020335,23.12414684,13.79020335,9.120071663,1.6e-08,1.01e-07
140,Q15654,Thyroid receptor-interacting protein 6,TRIP6,23.10398129,13.79020335,22.8663687,13.79020335,22.58155849,13.79020335,9.060432809,3.7e-08,1.77e-07
141,Q8NDI1,EH domain-binding protein 1,EHBP1,22.7386601,13.79020335,22.83243381,13.79020335,22.98133859,13.79020335,9.060607484,4.6e-09,4.98e-08
142,P53992,Protein transport protein Sec24C,SEC24C,22.96618543,13.79020335,22.72963705,13.79020335,22.83474231,13.79020335,9.053318249,4.36e-09,4.94e-08
143,Q5SQN1,Synaptosomal-associated protein 47,SNAP47,23.08982255,13.79020335,22.31215147,13.79020335,23.00977799,13.79020335,9.013713986,2.72e-07,8.33e-07
144,Q14789,Golgin subfamily B member 1,GOLGB1,22.53503612,13.79020335,22.66533584,13.79020335,23.24008231,13.79020335,9.023281407,1.55e-07,5.44e-07
145,Q9UNE7,E3 ubiquitin-protein ligase CHIP,STUB1,22.76737571,13.79020335,22.83930914,13.79020335,22.80350069,13.79020335,9.013191829,1.69e-09,3.6e-08
146,O95573,Long-chain-fatty-acid--CoA ligase 3,ACSL3,22.97794311,13.79020335,22.89519154,13.79020335,22.23157603,13.79020335,8.911366878,2.38e-07,7.46e-07
147,P35658,Nuclear pore complex protein Nup214,NUP214,22.88790591,13.79020335,22.753766,13.79020335,22.59240318,13.79020335,8.954488346,7.21e-09,6.47e-08
148,P29353,SHC-transforming protein 1,SHC1,22.81671621,13.79020335,22.63490659,13.79020335,22.81443706,13.79020335,8.965149935,3.72e-09,4.92e-08
149,Q9Y3E5,"Peptidyl-tRNA hydrolase 2, mitochondrial",PTRH2,22.58343927,13.79020335,22.42605859,13.79020335,23.16815881,13.79020335,8.935682204,1.93e-07,6.26e-07
150,P07437;Q9BVA1;Q13885;A0A0B4J269;Q13509,Tubulin beta chain;Tubulin beta-2B chain;Tubulin beta-2A chain;Tubulin beta-3 chain,TUBB;TUBB2B;TUBB2A;TUBB3,21.99071877,23.2566011,22.08195951,23.13036709,21.4111724,23.44634566,-1.449821054,0.001319343,0.002016294
151,Q15942,Zyxin,ZYX,22.71928011,13.79020335,22.66566083,13.79020335,22.80776388,13.79020335,8.940698257,2.46e-09,4.14e-08
