X,MajorityProteinIDs,ProteinNames,GeneID,DVL3_1,DVL3_2,DVL3_3,DVL3_M_1,DVL3_M_2,DVL3_M_3,DVL3_M_TTLL_1,DVL3_M_TTLL_2,DVL3_M_TTLL_3,DVL3_TTLL_1,DVL3_TTLL_2,DVL3_TTLL_3,logFC_DVL3_TTLL.DVL3,pval_DVL3_TTLL.DVL3,adjpval_DVL3_TTLL.DVL3,logFC_DVL3_M.DVL3,pval_DVL3_M.DVL3,adjpval_DVL3_M.DVL3,logFC_DVL3_M_TTLL.DVL3_TTLL,pval_DVL3_M_TTLL.DVL3_TTLL,adjpval_DVL3_M_TTLL.DVL3_TTLL,logFC_DVL3_M_TTLL.DVL3_M,pval_DVL3_M_TTLL.DVL3_M,adjpval_DVL3_M_TTLL.DVL3_M
11,P11488;P63096;P19087;P09471;P08754;A8MTJ3;P04899;P38405;Q5JWF2,Guanine nucleotide-binding protein G(t) subunit alpha-1;Guanine nucleotide-binding protein G(i) subunit alpha-1;Guanine nucleotide-binding protein G(t) subunit alpha-2;Guanine nucleotide-binding protein G(o) subunit alpha;Guanine nucleotide-binding protein G(k) subunit alpha;Guanine nucleotide-binding protein G(t) subunit alpha-3;Guanine nucleotide-binding protein G(i) subunit alpha-2;Guanine nucleotide-binding protein G(olf) subunit alpha;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,GNAT1;GNAI1;GNAT2;GNAO1;GNAI3;GNAT3;GNAI2;GNAL;GNAS,19.21188343,NA,NA,NA,NA,19.52763311,NA,NA,NA,NA,19.59484617,NA,0.127654247,0.906866911,1,0.105249893,0.923146387,1,-0.949337684,0.394511326,0.694987279,-0.926933329,0.405299367,0.93632666
12,B4DLN1;Q9UBX3,Mitochondrial dicarboxylate carrier,SLC25A10,23.01411567,23.12620908,23.24971,23.32876116,23.35059916,23.57466399,22.86341781,23.33646637,23.68341781,22.46519286,22.87946928,23.28378123,-0.253863792,0.328211758,0.640910386,0.287996524,0.271110346,0.775375638,0.418286206,0.123219643,0.403528203,-0.123574109,0.626630029,1
13,Q99613;B5ME19,Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein,EIF3C;EIF3CL,NA,NA,NA,NA,19.92724207,NA,NA,NA,NA,NA,19.40717374,NA,0.886780207,0.370469273,0.669735636,1.060136318,0.289075121,0.775375638,-0.886780207,0.370469273,0.682361131,-1.060136318,0.289075121,0.909328605
14,C9J1V9;O43324,Eukaryotic translation elongation factor 1 epsilon-1,EEF1E1-BLOC1S5;EEF1E1,19.24975695,20.86654091,20.61070176,NA,21.74362148,20.76448136,NA,20.85332475,20.96783964,20.76406449,NA,NA,-2.156422961,0.23858938,0.550974621,-0.490687886,0.780146795,1,1.436755592,0.421772808,0.711893862,-0.228979483,0.896175366,1
15,C9JAW5;Q9Y241,"HIG1 domain family member 1A, mitochondrial",HIGD1A,21.37717415,21.07186044,21.62860115,NA,20.94536566,21.24816702,21.59295372,21.23898867,21.64362714,20.92946107,20.37306142,NA,-2.009426707,0.167838603,0.458563209,-1.712423314,0.232883162,0.750383377,2.142071303,0.144361709,0.440479265,1.84506791,0.201562154,0.846155216
16,E9PAV3,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",NACA,21.60387693,21.25911045,21.95564232,23.51847744,21.881537,21.4572087,21.97726863,21.28435274,21.89178132,23.15392396,22.26349768,20.49024807,0.363013339,0.622958845,0.876627127,0.679531145,0.365808139,0.797908053,-0.251422342,0.732492577,0.988129888,-0.567940148,0.446442592,0.945866558
17,E9PLD3;E9PRG8,Uncharacterized protein C11orf98,C11orf98,19.8832946,20.97757038,NA,20.93200224,21.15810509,20.06396936,20.99765065,20.32299162,20.21764709,20.21816001,20.58570979,NA,-0.018998395,0.988008626,1,1.515459531,0.249584937,0.757427695,1.329195484,0.308281828,0.640632171,-0.205262441,0.871105591,1
18,G3V325;P56134,"ATP synthase subunit f, mitochondrial",ATP5J2-PTCD1;ATP5J2,22.23420439,21.93000477,22.64618209,21.95518981,21.71826836,22.38427551,22.9271301,21.40470878,22.60529044,21.95442875,22.71893831,23.60425676,0.489077523,0.348734399,0.65103647,-0.250885856,0.624054901,0.9653923,-0.446831498,0.389926156,0.693228321,0.293131881,0.567897661,1
19,H0YAA0,NA,NA,20.46212072,NA,20.59849222,NA,20.56953392,NA,NA,NA,20.30377605,NA,NA,NA,-2.522315568,0.119042578,0.424279958,-1.248081968,0.415210964,0.818621592,1.185647643,0.438058495,0.723159345,-0.088585957,0.952952809,1
20,I3L0E3;Q9Y2R5,"28S ribosomal protein S17, mitochondrial",hCG_1984214;MRPS17,19.90285031,21.22646062,21.80196353,21.93257396,20.52088549,21.48718396,20.49884944,21.62617751,21.68902236,20.16022188,20.41220723,20.66494257,-0.564634261,0.335767251,0.643253953,0.336456319,0.559281497,0.913306646,0.858892543,0.156751388,0.464682432,-0.042198038,0.941026527,1
21,M0R2C6;Q9NP81,"Serine--tRNA ligase, mitochondrial",SARS2,NA,NA,NA,NA,NA,19.49336541,NA,NA,NA,NA,NA,NA,0,1,1,0.915510762,0.177252751,0.699416417,0,1,1,-0.915510762,0.177252751,0.825251889
22,O00139,Kinesin-like protein KIF2A,KIF2A,19.99089028,20.71196554,20.78533516,NA,21.59436135,21.38254896,NA,21.64749125,21.66904673,NA,20.1981678,19.93959385,-1.534532071,0.398105117,0.691144688,-0.588149185,0.741491366,1,1.05959211,0.555182163,0.832773245,0.113209224,0.949211236,1
23,O00148;Q13838,ATP-dependent RNA helicase DDX39A;Spliceosome RNA helicase DDX39B,DDX39A;DDX39B,21.35918039,21.51803716,21.83982509,21.18398336,19.79309875,19.74305292,NA,21.91301831,21.11588901,20.89803136,20.81081967,20.93883895,-0.68978422,0.560841741,0.82542708,-1.332302535,0.273861262,0.775375638,-0.957316512,0.423828581,0.713606399,-0.314798197,0.78902923,1
24,O00165,HCLS1-associated protein X-1,HAX1,21.30211034,21.56854675,20.88029615,21.53523582,21.3053452,21.24741423,21.26405497,21.72989767,21.3691294,20.08640807,21.36807715,21.1504378,-0.382010076,0.273259831,0.590133947,0.112347339,0.739063111,1,0.586053007,0.107530024,0.377727402,0.091695592,0.785493265,1
25,O00178,GTP-binding protein 1,GTPBP1,22.71000402,22.63977493,22.90134305,22.9952343,22.80183557,22.33845609,22.86390924,22.87447806,22.63135689,21.37901015,22.7108954,22.32634634,-0.61162337,0.084411174,0.362881028,-0.038532016,0.905138155,1,0.651164101,0.069051097,0.304536291,0.078072748,0.809441626,1
26,O00203,AP-3 complex subunit beta-1,AP3B1,NA,NA,19.12977944,NA,NA,NA,NA,NA,NA,NA,NA,19.43335823,0.10119293,0.903866362,1,-0.794315439,0.355391943,0.787330373,-0.895508369,0.30066871,0.636440873,0,1,1
27,O00231,26S proteasome non-ATPase regulatory subunit 11,PSMD11,20.79723028,21.39225968,21.67683482,22.92564097,23.57787384,23.6263073,23.51304294,23.83624605,24.04615746,21.53525437,22.84535271,22.08022904,0.864837109,0.044106492,0.278672833,2.087832441,0.000343,0.039033836,1.644870114,0.001684434,0.0447694,0.421874783,0.281864207,0.909328605
28,O00232,26S proteasome non-ATPase regulatory subunit 12,PSMD12,NA,18.57168115,19.53222692,20.94811437,22.76402547,22.50320849,19.96818481,21.45611111,20.8319498,19.63257638,20.44479879,NA,0.657822368,0.550577593,0.817814062,3.78820238,0.006308096,0.171552779,1.810679143,0.122771313,0.403115255,-1.319700868,0.245395564,0.900655771
29,O00264,Membrane-associated progesterone receptor component 1,PGRMC1,19.52428981,20.3929256,21.76455012,NA,20.94557655,20.80403675,20.4761598,21.60504451,21.79065893,NA,21.80557451,20.46100614,-0.889450588,0.564024302,0.828162444,-1.061773037,0.492858353,0.860498338,1.619483158,0.304217981,0.63827958,1.791805607,0.258854243,0.909328605
30,O00299,Chloride intracellular channel protein 1,CLIC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.77726937,18.90029512,NA,1.727966085,0.020796526,0.203253551,0,1,1,-1.727966085,0.020796526,0.176066132,0,1,1
31,O00311,Cell division cycle 7-related protein kinase,CDC7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,0,1,1,0,1,1
32,O00410,Importin-5,IPO5,19.14078452,NA,NA,NA,NA,19.93215455,NA,NA,NA,20.10299196,19.3070489,NA,1.174141075,0.328396129,0.640910386,0.263790012,0.821433897,1,-1.972124874,0.117171047,0.39286663,-1.061773812,0.374366677,0.918299436
33,O00411,"DNA-directed RNA polymerase, mitochondrial",POLRMT,21.0052586,21.66151685,21.49561958,NA,21.79342701,20.23400952,20.91487676,20.77243633,19.04152753,NA,18.30105784,18.5042487,-3.536751791,0.014556315,0.176795628,-1.796041795,0.15811433,0.699416417,2.392233654,0.070925475,0.307704267,0.651523658,0.58951611,1
34,O00425,Insulin-like growth factor 2 mRNA-binding protein 3,IGF2BP3,23.277976,23.13154173,23.72667501,23.80424387,23.47765499,23.1468272,22.42873654,23.27870796,23.38850712,21.96361241,22.1267717,23.67484492,-0.790321234,0.122696289,0.43237481,0.097511106,0.837809314,1,0.443574194,0.363234146,0.679560994,-0.444258145,0.362530414,0.914315967
35,O00459,Phosphatidylinositol 3-kinase regulatory subunit beta,PIK3R2,20.56677199,NA,21.97537841,NA,NA,20.78616328,20.12809766,NA,20.33903571,NA,NA,NA,-3.016161389,0.094349714,0.379522484,-1.669718001,0.326721656,0.7815875,2.324489045,0.183019051,0.476001732,0.978045657,0.558261864,1
36,O00483,Cytochrome c oxidase subunit NDUFA4,NDUFA4,23.47597511,23.34264387,23.52346342,23.625018,23.71465743,23.66015789,23.87585965,22.99116742,23.58572381,23.86467345,21.83811714,23.66753306,-0.323919587,0.514876762,0.788385348,0.219250307,0.65714174,0.989271139,0.360809078,0.469524538,0.749203057,-0.182360816,0.711491118,1
37,O00487,26S proteasome non-ATPase regulatory subunit 14,PSMD14,NA,19.0975288,21.28718335,21.89947779,22.34305665,21.15665606,21.98203588,22.27779256,21.22986757,20.78691613,20.0229961,19.60245451,1.093607159,0.291561551,0.607905834,2.755881748,0.020403175,0.322101886,1.692443092,0.117451734,0.39286663,0.030168503,0.975989849,1
38,O00541,Pescadillo homolog,PES1,21.1349973,19.56170155,20.23531948,21.02045042,19.33725668,20.57905514,NA,19.25160561,20.88021455,NA,20.38699311,NA,-2.350452995,0.093397478,0.379522484,0.001581305,0.999017454,1,0.999331314,0.444529476,0.726359842,-1.352702986,0.307465688,0.909328605
39,O00567,Nucleolar protein 56,NOP56,23.04972076,22.90468571,22.97353607,22.71937876,23.35253123,23.42145452,23.70953214,23.53062613,23.64018763,21.27541815,23.25344135,23.59176571,-0.269105776,0.616397806,0.873288398,0.188473989,0.724681971,1,0.919906898,0.110671348,0.382208673,0.462327133,0.396174209,0.929880437
40,O00571;O15523,ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y,DDX3X;DDX3Y,26.10508023,26.24921686,26.45139317,25.72130581,26.06246829,26.26988764,26.15904732,26.25473838,26.11590734,26.39152572,26.64979355,26.77088628,0.335505098,0.069915878,0.3343816,-0.250676172,0.158294336,0.699416417,-0.427504173,0.0280357,0.205427965,0.158677097,0.354978149,0.910181204
41,O00743,"Serine/threonine-protein phosphatase 6 catalytic subunit;Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed",PPP6C,20.38051043,NA,NA,NA,NA,21.01260399,NA,20.73696159,NA,NA,NA,20.14949487,-0.077005187,0.965613543,1,0.210697853,0.906136012,1,0.195822239,0.912730512,1,-0.091880801,0.958977233,1
42,O14617,AP-3 complex subunit delta-1,AP3D1,NA,NA,NA,NA,NA,19.50231187,NA,NA,NA,NA,19.16345019,19.94791755,1.872567168,0.069378771,0.3343816,0.918492917,0.337249216,0.782865134,-1.872567168,0.069378771,0.304536291,-0.918492917,0.337249216,0.910181204
43,O14640;P54792,Segment polarity protein dishevelled homolog DVL-1;Putative segment polarity protein dishevelled homolog DVL1P1,DVL1;DVL1P1,23.88802979,21.88985543,21.10949988,22.84814696,21.65144883,22.11781822,23.32350063,23.0017631,22.7422455,23.98230707,22.71758662,21.87334064,0.561949743,0.472370141,0.750870453,-0.089990364,0.906981991,1,0.164758298,0.830764944,1,0.816698405,0.304265196,0.909328605
44,O14641,Segment polarity protein dishevelled homolog DVL-2,DVL2,28.27856119,27.04049982,25.62164213,27.98024404,26.55245891,26.76922495,28.22543334,27.63924867,27.49100007,28.26765852,27.32497111,26.3934293,0.348451929,0.641751479,0.885150055,0.120408255,0.871545979,1,0.456541054,0.543999571,0.824872981,0.684584728,0.369289536,0.917514064
45,O14654,Insulin receptor substrate 4,IRS4,28.25835881,28.4265018,28.61884268,27.81486716,27.95905565,28.59735605,28.05254732,27.85726973,28.31429308,28.77184933,27.7749734,28.42517839,-0.11056739,0.709238666,0.935925708,-0.310808143,0.307826989,0.775375638,-0.249296995,0.40827173,0.708451493,-0.049056242,0.868160637,1
46,O14734,Acyl-coenzyme A thioesterase 8,ACOT8,20.14922196,20.29847311,20.88029072,20.80644523,19.60489082,21.041455,20.5899509,20.47422338,NA,20.33994314,21.14259559,20.77963914,0.31139736,0.747034858,0.968435863,0.041601752,0.965522255,1,-1.483723491,0.148239279,0.446861056,-1.213927882,0.227624168,0.87349029
47,O14744,"Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed",PRMT5,19.64694411,20.9398209,18.50779017,NA,20.33524962,19.48539262,21.17461618,21.08546317,20.75681707,NA,20.81321822,19.7655823,-0.589640517,0.637610217,0.882356616,-0.842359944,0.503904001,0.871900284,1.897087592,0.152003369,0.454161636,2.149807019,0.110060759,0.811575352
48,O14776,Transcription elongation regulator 1,TCERG1,21.7774449,21.77751468,21.66711154,NA,NA,21.82972121,NA,21.1633399,19.27997454,22.22386744,22.04981479,21.5201418,0.190584301,0.898293237,1,-3.299561226,0.049656625,0.489137308,-2.867892157,0.080120743,0.326416676,0.62225337,0.677878869,1
49,O14782,Kinesin-like protein KIF3C,KIF3C,NA,23.13696242,22.7285213,24.62994266,23.37824598,22.37944263,23.93208028,23.72417807,23.16247995,24.24046822,23.48717215,24.06946416,3.0615959,0.070495185,0.335321204,2.591771481,0.116231738,0.699066845,-0.326122079,0.831336335,1,0.143702341,0.925145398,1
50,O14818;Q8TAA3,Proteasome subunit alpha type-7;Proteasome subunit alpha type-7-like,PSMA7;PSMA8,20.68174189,20.25250276,20.45200473,21.55362371,20.35637239,20.94001887,21.99010324,22.21022986,21.74738737,22.5178287,21.43083756,20.70283093,1.088415934,0.039215192,0.264397249,0.487921863,0.306294941,0.775375638,0.43207443,0.361808294,0.679560994,1.032568502,0.047948664,0.735576323
51,O14828,Secretory carrier-associated membrane protein 3,SCAMP3,19.46055475,NA,NA,NA,19.53389386,19.6453477,NA,NA,20.22987308,NA,NA,NA,-0.904573878,0.466758656,0.747164581,0.990617897,0.426889868,0.820523351,1.161013319,0.355050682,0.672616759,-0.734178456,0.552607028,1
52,O14880,Microsomal glutathione S-transferase 3,MGST3,NA,NA,NA,NA,NA,NA,21.01671379,NA,NA,NA,NA,NA,0,1,1,0,1,1,1.423293558,0.176237908,0.47206108,1.423293558,0.176237908,0.825251889
53,O14908,PDZ domain-containing protein GIPC1,GIPC1,21.95415895,21.61944737,21.00446595,22.64272579,22.03909705,20.92378283,22.19684978,21.7092875,22.26864705,22.91803025,22.21479884,20.91541827,0.490058362,0.415098127,0.704209207,0.34251113,0.56502953,0.916850663,0.042178996,0.942953423,1,0.189726228,0.748264008,1
54,O14925;Q5SRD1,Mitochondrial import inner membrane translocase subunit Tim23;Putative mitochondrial import inner membrane translocase subunit Tim23B,TIMM23;TIMM23B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,0,1,1,0,1,1
55,O14949,Cytochrome b-c1 complex subunit 8,UQCRQ,23.58330107,23.16563092,24.07520399,23.49815398,22.83898226,23.8333805,24.26119848,23.81740951,24.02445026,23.33330931,23.43941759,24.57578865,0.174793192,0.667613669,0.903451925,-0.217873079,0.593591174,0.940820371,0.251514234,0.539010674,0.820742062,0.644180505,0.137068978,0.825251889
56,P19105;O14950;P24844,Myosin regulatory light chain 12A;Myosin regulatory light chain 12B;Myosin regulatory light polypeptide 9,MYL12A;MYL12B;MYL9,21.57373678,22.97519643,21.39474649,20.70648244,20.72804442,19.62864103,NA,NA,NA,20.64661189,20.54297916,NA,-2.669085175,0.022834951,0.211603884,-1.626837267,0.128058246,0.699416417,-2.565308272,0.027145538,0.203347715,-3.60755618,0.004990237,0.309084849
57,O14965,Aurora kinase A,AURKA,NA,NA,NA,NA,NA,NA,NA,NA,21.21568471,21.18140251,20.97709456,21.30451626,4.407504657,0.002012535,0.054732213,0,1,1,-2.91788746,0.018871632,0.166886678,1.489617197,0.176969093,0.825251889
58,O14979,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,21.55460086,21.49840075,21.524537,21.37017749,22.15617097,21.15523756,21.42577901,21.45177651,20.92390331,21.23285713,20.94885349,20.96961345,-0.475404847,0.093049876,0.379522484,0.03468247,0.89369486,1,0.216711585,0.412998849,0.708562385,-0.293375732,0.275399828,0.909328605
59,O14980,Exportin-1,XPO1,NA,NA,NA,NA,19.33264803,NA,NA,NA,NA,NA,NA,NA,0,1,1,0.861938304,0.177474245,0.699416417,0,1,1,-0.861938304,0.177474245,0.825251889
60,O15027,Protein transport protein Sec16A,SEC16A,26.33141334,26.87127448,27.24231731,24.33232549,25.02762454,25.30343958,24.9390056,25.70470115,25.6229066,25.8943135,25.8219555,26.30877849,-0.806652546,0.039885459,0.264397249,-1.927205173,0.000307,0.038681199,-0.586144715,0.114468926,0.38807758,0.534407912,0.145388674,0.825251889
61,O15042,U2 snRNP-associated SURP motif-containing protein,U2SURP,19.62765916,21.25948121,NA,NA,21.17390165,20.47363921,NA,20.78799753,20.1885172,NA,20.89120011,20.48162765,0.161895797,0.929934728,1,0.25346683,0.890545905,1,-0.132104343,0.94279883,1,-0.223675375,0.903331232,1
62,O15160,DNA-directed RNA polymerases I and III subunit RPAC1,POLR1C,22.89803344,22.74534771,22.98368729,22.3184529,22.11364039,22.99049461,21.33278069,22.73637843,22.41438937,23.27102609,22.26143259,21.77356848,-0.440347093,0.362739031,0.661064816,-0.401493514,0.404698549,0.812645081,-0.274159558,0.565078344,0.837574654,-0.313013137,0.512532647,0.978191325
63,O15169,Axin-1,AXIN1,19.2259308,19.54398368,20.0130526,19.37507894,18.94591361,19.48617901,NA,19.90316237,19.92792744,21.30117785,20.01421804,21.66858778,1.400338862,0.122106565,0.431512185,-0.325265177,0.700368819,1,-2.135353582,0.028983327,0.205427965,-0.409749543,0.628725266,1
64,P84022;Q15796;O15198,Mothers against decapentaplegic homolog 3;Mothers against decapentaplegic homolog 2;Mothers against decapentaplegic homolog 9,SMAD3;SMAD2;SMAD9,NA,NA,NA,NA,21.06278735,21.0019652,21.35378914,21.08961624,NA,21.81692198,21.32610613,NA,3.216453958,0.105262249,0.400725834,2.85702877,0.143966203,0.699416417,-0.233207576,0.89870328,1,0.126217612,0.945052167,1
65,O15226,NF-kappa-B-repressing factor,NKRF,22.38074327,22.41313411,22.59702399,21.35025806,22.63336145,21.96688201,21.41847538,22.05218019,22.01605459,21.10527511,20.35551915,22.47363654,-1.15215685,0.052933215,0.298285819,-0.480133282,0.376010084,0.797908053,0.51742645,0.341838065,0.664036365,-0.154597118,0.770926163,1
66,O15235,"28S ribosomal protein S12, mitochondrial",MRPS12,21.2504475,21.10325028,21.00576676,20.71341369,21.02778798,20.65361587,19.82851525,20.76376142,21.12878716,21.67134248,21.38933979,20.40247846,0.034565402,0.930660958,1,-0.321548999,0.427019936,0.820523351,-0.580698973,0.167812126,0.47206108,-0.224584572,0.575376302,1
67,O15269,Serine palmitoyltransferase 1,SPTLC1,20.07984665,21.41387594,NA,NA,NA,21.15689263,20.56224218,20.41211749,NA,NA,NA,21.47924215,-1.089215777,0.587618807,0.848989051,-1.196665616,0.552036885,0.913306646,0.9160948,0.647475072,0.915244423,1.023544638,0.609969537,1
68,O15371,Eukaryotic translation initiation factor 3 subunit D,EIF3D,22.27966308,21.45758269,20.50900214,NA,NA,20.54819552,NA,19.26587035,19.38425505,23.01107429,22.12617112,20.33264431,0.407880607,0.745980956,0.968072797,-3.401462048,0.021775327,0.322101886,-3.357643735,0.023070965,0.181158717,0.45169892,0.719977377,1
69,O15381,Nuclear valosin-containing protein-like,NVL,NA,NA,NA,NA,19.67428593,19.25940946,NA,NA,NA,NA,NA,NA,0,1,1,1.81334305,0.017898806,0.298292655,0,1,1,-1.81334305,0.017898806,0.528986039
70,O15460,Prolyl 4-hydroxylase subunit alpha-2,P4HA2,20.58563765,19.60524256,NA,NA,NA,19.1315035,NA,NA,NA,NA,NA,NA,-2.232404658,0.044346092,0.278778697,-1.437514532,0.165921478,0.699416417,0,1,1,-0.794890126,0.425414699,0.945866558
71,O43143,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,DHX15,25.0884021,24.91996061,25.0759985,24.81843625,25.10326427,24.90274389,24.80361496,24.87830928,24.67028278,24.72101077,25.50838974,25.42964902,0.191562772,0.355936719,0.655463503,-0.086638935,0.670022814,1,-0.435614171,0.054831053,0.282278385,-0.157412464,0.444400205,0.945866558
72,O43175,D-3-phosphoglycerate dehydrogenase,PHGDH,24.77455985,24.04882287,24.86096451,25.14034235,24.98044895,25.31394102,25.72322386,24.95597461,25.13576008,24.96701411,24.83283128,25.14747943,0.420992529,0.138710363,0.441543675,0.583461691,0.051233518,0.489260542,0.289211243,0.292780362,0.628797069,0.12674208,0.63576897,1
73,O43242,26S proteasome non-ATPase regulatory subunit 3,PSMD3,21.35618078,21.20569812,21.46108627,22.04133548,23.00630625,23.55635597,23.33568426,23.31961969,23.05249184,22.98385345,23.34240277,22.19819443,1.500495156,0.00421038,0.084638583,1.52701084,0.003804508,0.125248396,0.39444838,0.339715432,0.661968856,0.367932695,0.371517966,0.918299436
74,O43251;Q9NWB1;A6NFN3,RNA binding protein fox-1 homolog 2;RNA binding protein fox-1 homolog 1;RNA binding protein fox-1 homolog 3,RBFOX2;RBFOX1;RBFOX3,22.01508514,22.14566639,21.98383481,22.66993864,21.05902497,21.60466426,21.42852253,20.70512374,21.75967957,21.1600874,NA,NA,-3.830277571,0.006301235,0.105104599,-0.270319495,0.806595098,1,3.079857399,0.018943172,0.166886678,-0.480100677,0.664912504,1
75,O43390,Heterogeneous nuclear ribonucleoprotein R,HNRNPR,24.41546689,24.46606114,23.27028916,24.89942694,24.75557741,24.48763013,24.73314595,24.95835906,24.13845288,23.34185341,23.93638453,23.81388292,-0.35323211,0.340742565,0.64782515,0.663605766,0.091973063,0.641738154,0.912612343,0.029343193,0.205454906,-0.104225533,0.773159772,1
76,O43615,Mitochondrial import inner membrane translocase subunit TIM44,TIMM44,19.33616049,NA,20.1604181,NA,19.88168084,20.35400065,NA,NA,20.96377715,NA,20.1402146,NA,-0.86984362,0.601415111,0.859372602,0.246367637,0.881494,1,0.27452085,0.868090785,1,-0.841690408,0.613052007,1
